length	Evalue	attribute
7.3 	42	other
6.6 	33	other
6.0 	46	other
7.5 	38	other
7.5 	35	other
5.3 	38	other
56.3 	276	other
7.8 	47	other
6.9 	47	other
5.9 	36	other
5.9 	16	other
7.7 	41	other
7.7 	16	other
6.4 	45	other
185.5 	293	other
5.1 	45	other
6.0 	47	other
7.0 	44	other
7.0 	73	other
6.5 	42	other
6.1 	38	other
6.1 	38	other
7.3 	58	other
8.2 	36	other
7.0 	57	other
189.9 	291	nifK
55.4 	268	other
8.2 	42	other
5.5 	36	other
6.9 	33	other
6.9 	36	other
8.3 	37	other
183.5 	287	nifK
7.7 	51	other
7.2 	39	other
7.2 	47	other
8.5 	55	other
8.5 	83	other
6.4 	34	other
6.4 	18	other
5.0 	39	other
7.6 	50	other
6.6 	50	other
7.0 	35	other
54.6 	270	other
6.2 	43	other
56.6 	245	other
6.0 	43	other
6.1 	34	other
188.9 	289	nifK
5.9 	43	other
6.3 	32	other
5.5 	37	other
5.5 	33	other
55.5 	271	other
6.9 	42	other
6.8 	33	other
7.5 	46	other
7.5 	75	other
188.5 	292	nifK
55.6 	273	other
8.3 	37	other
5.9 	38	other
5.7 	36	other
5.5 	34	other
7.7 	40	other
7.7 	23	other
5.6 	27	other
5.6 	32	other
7.0 	35	other
5.5 	39	other
8.3 	47	other
8.3 	86	other
5.7 	38	other
7.6 	43	other
7.6 	72	other
188.5 	289	nifK
56.0 	268	other
6.0 	45	other
6.4 	32	other
8.3 	37	other
189.9 	292	nifK
5.4 	79	other
7.7 	34	other
7.7 	13	other
6.6 	34	other
7.6 	45	other
7.6 	42	other
76.8 	134	nifK
98.6 	143	nifK
6.5 	33	other
6.5 	29	other
6.5 	39	other
56.1 	268	other
184.2 	293	other
5.7 	47	other
6.1 	53	other
5.0 	38	other
8.7 	45	other
8.7 	106	other
6.7 	33	other
55.9 	268	other
8.1 	34	other
8.1 	32	other
5.2 	37	other
9.0 	29	nifK
177.2 	269	nifK
5.5 	102	other
5.5 	28	other
5.9 	41	other
55.4 	269	other
6.7 	31	other
6.7 	52	other
10.4 	39	other
10.4 	39	other
7.9 	38	other
7.9 	37	other
5.5 	39	other
8.1 	156	other
5.9 	36	other
6.6 	41	other
9.1 	45	other
9.1 	37	other
6.9 	42	other
8.0 	37	other
5.0 	30	other
10.5 	55	other
10.5 	38	other
57.5 	269	other
184.0 	288	nifK
156.2 	272	nifK
5.0 	45	other
7.2 	50	other
6.7 	122	other
6.6 	35	other
6.6 	38	other
54.9 	268	other
5.5 	39	other
5.9 	27	other
10.2 	45	other
10.2 	25	other
6.1 	41	other
8.6 	57	other
8.6 	73	other
5.1 	49	other
6.1 	36	other
6.1 	37	other
55.1 	268	other
9.8 	210	other
5.6 	41	other
5.6 	37	other
5.2 	14	other
5.2 	27	other
5.1 	38	other
7.8 	45	other
9.6 	50	other
7.3 	78	other
7.3 	34	other
6.4 	79	other
5.4 	29	other
6.4 	68	other
6.4 	34	other
8.4 	58	other
8.4 	84	other
7.6 	53	other
7.6 	34	other
10.0 	43	other
9.1 	39	other
9.1 	35	other
55.8 	267	other
5.3 	36	other
5.8 	45	other
5.3 	39	other
55.5 	268	other
5.6 	39	other
13.0 	65	other
13.0 	19	other
13.0 	42	other
6.1 	32	other
5.7 	50	other
5.7 	18	other
8.3 	43	other
8.3 	75	other
11.5 	46	other
5.9 	39	other
8.9 	43	other
8.9 	21	other
8.9 	47	other
9.9 	122	other
9.9 	44	other
6.3 	33	other
6.9 	37	other
6.9 	51	other
5.8 	42	other
7.8 	44	other
7.8 	74	other
6.1 	34	other
5.6 	33	other
5.6 	32	other
6.3 	37	other
6.3 	38	other
5.6 	39	other
55.7 	268	other
187.3 	290	nifK
6.0 	30	other
7.1 	59	other
5.0 	46	other
10.4 	44	other
6.6 	41	other
5.7 	39	other
7.4 	36	other
7.4 	34	other
6.3 	40	other
8.7 	40	other
56.2 	278	other
10.5 	43	other
10.5 	122	other
6.0 	44	other
5.7 	34	other
5.7 	22	other
6.0 	38	other
6.0 	36	other
189.7 	291	nifK
55.4 	268	other
7.8 	36	other
6.3 	32	other
185.5 	293	other
6.9 	46	other
7.1 	57	other
5.9 	45	other
7.1 	44	other
7.1 	75	other
8.1 	36	other
6.9 	41	other
7.1 	44	other
7.1 	74	other
55.4 	268	other
6.0 	38	other
6.0 	38	other
6.9 	47	other
189.7 	291	nifK
189.5 	291	nifK
5.9 	79	other
7.3 	61	other
56.6 	269	other
10.7 	46	other
10.7 	23	other
6.0 	37	other
6.0 	42	other
6.1 	47	other
7.3 	36	other
7.1 	59	other
188.3 	290	nifK
6.4 	59	other
8.1 	45	other
8.1 	78	other
7.1 	59	other
5.9 	79	other
7.3 	61	other
7.3 	36	other
6.1 	47	other
6.0 	37	other
6.0 	42	other
6.2 	18	other
6.2 	32	other
56.6 	269	other
188.3 	290	nifK
6.4 	59	other
8.1 	45	other
8.1 	78	other
189.5 	291	nifK
91.5 	145	nifK
91.7 	136	nifK
5.5 	37	other
5.5 	36	other
10.7 	45	other
10.7 	22	other
9.3 	39	other
5.2 	33	other
56.0 	268	other
5.9 	43	other
6.0 	17	other
6.0 	19	other
6.0 	48	other
7.6 	45	other
7.6 	39	other
7.4 	33	other
6.4 	31	other
7.6 	47	other
7.6 	56	other
5.8 	43	other
8.5 	45	other
8.5 	52	other
5.4 	32	other
6.8 	34	other
6.8 	24	other
6.4 	31	other
6.6 	55	other
6.6 	20	other
11.0 	46	other
11.0 	23	other
5.6 	42	other
55.6 	268	other
5.6 	34	other
5.6 	41	other
8.3 	36	other
8.3 	53	other
8.7 	36	other
8.7 	54	other
6.0 	55	other
5.4 	39	other
7.4 	44	other
7.4 	37	other
6.9 	49	other
6.4 	35	other
6.4 	45	other
5.5 	38	other
10.5 	45	other
10.5 	23	other
5.4 	36	other
5.4 	35	other
56.0 	276	other
5.5 	48	other
5.6 	33	other
8.0 	58	other
7.0 	52	other
9.1 	53	other
5.6 	40	other
5.6 	29	other
186.7 	292	nifK
5.6 	35	other
54.6 	269	other
5.7 	39	other
7.8 	62	other
7.8 	45	other
11.1 	27	other
11.1 	46	other
11.1 	24	other
6.1 	44	other
7.0 	35	other
7.0 	17	other
6.3 	45	other
5.6 	43	other
7.5 	45	other
188.1 	293	nifK
6.7 	51	other
188.3 	293	nifK
5.2 	38	other
56.3 	274	other
6.9 	42	other
5.3 	55	other
5.3 	27	other
7.6 	43	other
7.6 	74	other
189.9 	292	nifK
6.5 	39	other
6.5 	25	other
7.0 	48	other
5.4 	38	other
5.4 	37	other
10.4 	47	other
55.8 	268	other
5.9 	43	other
5.7 	27	other
6.5 	33	other
5.6 	27	other
7.7 	46	other
7.6 	45	other
7.8 	43	other
5.3 	39	other
5.6 	42	other
9.5 	80	other
57.5 	274	other
8.4 	74	other
8.4 	74	other
4.8 	90	other
4.8 	38	other
5.7 	31	other
8.2 	53	other
6.4 	44	other
6.4 	49	other
5.3 	31	other
7.6 	57	other
54.4 	271	other
6.5 	32	other
6.5 	48	other
7.9 	42	other
7.9 	36	other
5.2 	41	other
5.7 	39	other
5.5 	37	other
5.1 	79	other
5.7 	54	other
10.7 	46	other
10.7 	21	other
8.5 	41	other
5.3 	39	other
5.5 	81	other
54.6 	276	other
6.3 	34	other
6.3 	47	other
8.4 	72	other
8.4 	0	other
181.3 	286	nifK
5.4 	37	other
5.7 	33	other
5.7 	31	other
5.7 	49	other
5.1 	33	other
5.1 	17	other
5.5 	30	other
5.5 	30	other
5.1 	40	other
5.1 	21	other
8.0 	70	other
8.0 	35	other
56.1 	268	other
6.6 	34	other
5.7 	77	other
55.8 	273	other
6.3 	22	other
6.3 	33	other
6.3 	37	other
6.2 	39	other
8.5 	68	other
8.5 	85	other
7.6 	43	other
6.0 	47	other
7.8 	45	other
7.8 	74	other
96.7 	142	nifK
77.9 	133	other
6.2 	39	other
6.2 	23	other
189.0 	291	nifK
6.9 	34	other
9.3 	41	other
5.3 	36	other
5.3 	31	other
6.9 	41	other
56.5 	275	other
6.4 	45	other
9.3 	51	other
10.2 	62	other
6.6 	49	other
10.9 	46	other
9.4 	123	other
9.7 	48	other
9.1 	171	other
58.4 	274	other
7.1 	36	other
7.1 	42	other
5.6 	42	other
9.8 	55	other
9.8 	35	other
